	F1_score	AUC_score	Mean	SD	95% HPD
Nearest Neighbors     	0.825	0.865	0.852	0.079	(0.763, 0.894)
Linear SVM            	0.875	0.98	0.977	0.009	(0.96, 0.99)
RBF SVM               	0.85	0.882	0.88	0.016	(0.846, 0.91)
Decision Tree         	0.8	0.8	0.798	0.02	(0.757, 0.834)
Random Forest         	0.8	0.941	0.937	0.018	(0.912, 0.959)
AdaBoost              	0.825	0.974	0.97	0.009	(0.949, 0.985)
Naive Bayes           	0.85	0.968	0.965	0.016	(0.944, 0.981)
Linear Discriminant   	0.875	0.972	0.97	0.009	(0.952, 0.984)
Quadratic Discriminant	0.875	0.982	0.98	0.007	(0.965, 0.991)
	F1_score	AUC_score	Mean	SD	95% HPD
Nearest Neighbors     	6.5	8.0	8.0	1.0	8.0
Linear SVM            	2.0	2.0	2.0	7.0	2.0
RBF SVM               	4.5	7.0	7.0	4.5	7.0
Decision Tree         	8.5	9.0	9.0	2.0	9.0
Random Forest         	8.5	6.0	6.0	3.0	6.0
AdaBoost              	6.5	3.0	3.5	7.0	4.0
Naive Bayes           	4.5	5.0	5.0	4.5	5.0
Linear Discriminant   	2.0	4.0	3.5	7.0	3.0
Quadratic Discriminant	2.0	1.0	1.0	9.0	1.0
