	F1_score	AUC_score	Mean	SD	95% HPD
Nearest Neighbors     	0.9	0.949	0.947	0.013	(0.922, 0.967)
Linear SVM            	0.9	0.99	0.987	0.006	(0.974, 0.996)
RBF SVM               	0.925	0.982	0.98	0.008	(0.964, 0.991)
Decision Tree         	0.875	0.876	0.874	0.018	(0.84, 0.906)
Random Forest         	0.775	0.932	0.93	0.013	(0.904, 0.953)
AdaBoost              	0.85	0.926	0.922	0.014	(0.893, 0.947)
Naive Bayes           	0.925	0.975	0.972	0.018	(0.954, 0.987)
Linear Discriminant   	0.95	0.982	0.98	0.008	(0.965, 0.991)
Quadratic Discriminant	0.95	0.995	0.992	0.005	(0.981, 0.999)
