	F1_score	AUC_score	Mean	SD	95% HPD
Nearest Neighbors     	0.975	0.829	0.822	0.035	(0.749, 0.886)
Linear SVM            	0.925	0.991	0.982	0.014	(0.948, 0.998)
RBF SVM               	0.95	1.0	0.992	0.009	(0.969, 1.0)
Decision Tree         	0.975	0.833	0.823	0.036	(0.749, 0.888)
Random Forest         	0.975	0.982	0.973	0.015	(0.936, 0.994)
AdaBoost              	0.975	0.833	0.824	0.035	(0.75, 0.886)
Naive Bayes           	0.975	0.991	0.97	0.086	(0.918, 0.998)
Linear Discriminant   	0.975	0.982	0.97	0.05	(0.933, 0.994)
Quadratic Discriminant	0.975	0.991	0.982	0.013	(0.949, 0.998)
